index;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_C;params;split0_test_accuracy;split1_test_accuracy;split2_test_accuracy;split3_test_accuracy;split4_test_accuracy;mean_test_accuracy;std_test_accuracy;rank_test_accuracy;split0_test_balanced_accuracy;split1_test_balanced_accuracy;split2_test_balanced_accuracy;split3_test_balanced_accuracy;split4_test_balanced_accuracy;mean_test_balanced_accuracy;std_test_balanced_accuracy;rank_test_balanced_accuracy;split0_test_macro-precision;split1_test_macro-precision;split2_test_macro-precision;split3_test_macro-precision;split4_test_macro-precision;mean_test_macro-precision;std_test_macro-precision;rank_test_macro-precision;split0_test_macro-recall;split1_test_macro-recall;split2_test_macro-recall;split3_test_macro-recall;split4_test_macro-recall;mean_test_macro-recall;std_test_macro-recall;rank_test_macro-recall;split0_test_macro-f1_score;split1_test_macro-f1_score;split2_test_macro-f1_score;split3_test_macro-f1_score;split4_test_macro-f1_score;mean_test_macro-f1_score;std_test_macro-f1_score;rank_test_macro-f1_score;split0_test_weighted-precision;split1_test_weighted-precision;split2_test_weighted-precision;split3_test_weighted-precision;split4_test_weighted-precision;mean_test_weighted-precision;std_test_weighted-precision;rank_test_weighted-precision;split0_test_weighted-recall;split1_test_weighted-recall;split2_test_weighted-recall;split3_test_weighted-recall;split4_test_weighted-recall;mean_test_weighted-recall;std_test_weighted-recall;rank_test_weighted-recall;split0_test_weighted-f1_score;split1_test_weighted-f1_score;split2_test_weighted-f1_score;split3_test_weighted-f1_score;split4_test_weighted-f1_score;mean_test_weighted-f1_score;std_test_weighted-f1_score;rank_test_weighted-f1_score
0;16.425593280792235;0.3269830551108325;0.07716989517211914;0.01954900399616731;1;{'C': 1};0.9995288707975275;0.9995100163956052;0.9996419350583269;0.9995665529653431;0.9995477074420971;0.99955901653178;4.554108919159258e-05;2;0.9964840911473786;0.9963325857407052;0.9969877894764183;0.9964941955255696;0.9960143319029053;0.9964625987585954;0.0003146846444545252;2;0.9954384501209309;0.9948166173725685;0.996160248735194;0.9951297443891152;0.9955496232856167;0.9954189367806852;0.00045020529886985244;2;0.9964840911473786;0.9963325857407052;0.9969877894764183;0.9964941955255696;0.9960143319029053;0.9964625987585954;0.0003146846444545252;2;0.9959592414167272;0.995572860039577;0.9965709035688728;0.9958074253409986;0.995778654732282;0.9959378170196915;0.000339642695926961;2;0.999529451463949;0.999511206597017;0.9996425593823596;0.9995674834412859;0.9995483168568601;0.9995598035482944;4.5436473467602916e-05;2;0.9995288707975275;0.9995100163956052;0.9996419350583269;0.9995665529653431;0.9995477074420971;0.99955901653178;4.554108919159258e-05;2;0.9995290067024564;0.999510482212705;0.9996420000352275;0.999566684517976;0.9995477402505814;0.9995591827437893;4.544941413559762e-05;2
1;29.942788076400756;0.7670109618136696;0.04897890090942383;0.002252936484201966;1000;{'C': 1000};0.9996419418061209;0.999604244011835;0.9997361626745567;0.9996607805815728;0.9996984716280648;0.9996683201404301;4.5541482996773866e-05;1;0.9965862403462071;0.9966134841435315;0.9970130522088354;0.9966650989001712;0.9967111211573236;0.9967177993512137;0.00015374369587050244;1;0.9963824667328645;0.995818840548506;0.9972348927359196;0.9960960389301028;0.9969710038809086;0.9965006485656603;0.0005296955161575302;1;0.9965862403462071;0.9966134841435315;0.9970130522088354;0.9966650989001712;0.9967111211573236;0.9967177993512137;0.00015374369587050244;1;0.996478793977862;0.9962142548513371;0.9971215840006614;0.9963764965296467;0.9968382985676651;0.9966058855854344;0.0003292740188041532;1;0.9996428306768185;0.999604705523496;0.999736223675996;0.9996612563009136;0.9996984875021975;0.9996687007358842;4.531371903839037e-05;1;0.9996419418061209;0.999604244011835;0.9997361626745567;0.9996607805815728;0.9996984716280648;0.9996683201404301;4.5541482996773866e-05;1;0.9996419529250296;0.9996043067961032;0.9997360154312861;0.9996607119261948;0.9996982791309561;0.999668253241914;4.54554603190788e-05;1

 
;precision;recall;f1-score;support
0.0;1.0;1.0;1.0;61851.0
1.0;0.9967;0.9942;0.9954;1200.0
2.0;0.9952;0.9947;0.9949;2074.0
3.0;0.9959;1.0;0.9979;1205.0
macro avg;0.9969;0.9972;0.9971;66330.0
weighted avg;0.9997;0.9997;0.9997;66330.0

 
C;class_weight;dual;fit_intercept;intercept_scaling;l1_ratio;max_iter;multi_class;n_jobs;penalty;random_state;solver;tol;verbose;warm_start
1000;;False;True;1;;500;multinomial;;l2;;newton-cg;0.0001;0;False
